[2026-09-08 14:47:16] Pixsel__Eymen | olu gruptan nıye cıktın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:31:39] maceswap | Serkan_3793 sorun neydi sor istersen | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:33:27] eymenizmaa33 | hira nerde ya neden girmiyo avab | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:34:42] bosluk1 | kaç tane var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:38:18] AyiBogan064 | bilen biri var mı Fantom zarları kaçtan gider sunucuda | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:40:42] OverLord | ze mobilde aktiflerş nerden göruyorum ya | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:44:21] Nosstalgia_ | nası açıyoz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:45:30] Serkan_3793 | otamatik farm nasi :D | enyakin=en-iyi-farm puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 23:48:46] Serkan_3793 | ama kol gibi splama makinesi ve koyun pompacısı V2.0 nası :D | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:49:40] OverLord | neden ahmst | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 23:54:54] KadirHB | olm ne zaman aldın da bitti | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 00:02:52] eymenizmaa33 | kadir nası bu kadar hızlı yazıyon ben daha okuyamıyom | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 00:02:55] Serkan_3793 | [event cancelled]neden | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 00:08:52] eymenizmaa33 | ben neden atıldım la | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 00:22:18] ItzRealMusty | 35level sin nasıl eşya yok | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 00:58:05] eymenizmaa33 | korkuyorum gerçek mi bu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 00:59:49] Faxley | Lamia111 rehbermisin nerden biliyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 00:59:54] KadirHB | Lamia111 sen nerden biliyon la | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:01:00] Lamia111 | sınırı kaç yaptın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:01:02] eymenizmaa33 | lamia içerde misin? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:01:38] eymenizmaa33 | tot patlayana kadar vs? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:02:38] anomaly333 | bakım ne zaman başlayacak | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:07:57] eymenizmaa33 | senin base nası | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:10:55] KadirHB | BlackNior_ ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:14:48] Faxley | dao kim olum | enyakin=olunce-esya puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 01:14:59] eymenizmaa33 | ne diyim olum küfür mü edeyim oyun için | enyakin=olunce-esya puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 01:20:13] NextRisen | elmas genelde kaçıncı katmanlarda çıkıyodu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:26:56] Faxley | as OverLord 3.5 m nerden kastın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:28:56] vapro543 | değerli mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:29:11] Faxley | bende diyim mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:30:16] vapro543 | paylaşim mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:32:29] KadirHB | niye isim veriyorsunuz kardeşim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:36:31] OverLord | kac kez dedim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:37:18] Faxley | burayı nası buldun | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:37:56] Faxley | -35 nası gitcez | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:45:10] NextRisen | silk touch satanlar var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:45:27] NextRisen | deal yapsak oluyo mu :D | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:48:18] vapro543 | nasıl açim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:48:40] OverLord | kac tanw | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:49:56] NextRisen | bu .ah'a nasıl ıtem koyuyoruz | enyakin=acik-artirma puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 01:49:58] OverLord | kacıncı uyarısım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:51:22] vapro543 | eymen nereye | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:53:28] Faxley | ilk defa niye bu kadar ödedim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:53:35] Faxley | ilk defa niye bu kadar ödedim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:53:50] vapro543 | niye temizledin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:57:10] OverLord | kime dedin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 01:58:59] vapro543 | homene gelim mi???? | enyakin=ev-home puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 02:00:39] vapro543 | lan burda gunlukodul yok mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 02:09:13] eymenizmaa33 | elmasa 10 mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 02:16:57] OverLord | kac dklık | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 03:08:02] HeraAndZeus | sen mi yapmıştın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 03:51:52] eymenizmaa33 | ne kadr hangi spwner | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 03:54:01] eymenizmaa33 | ne dersin? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 03:56:01] NextRisen | serverda trial chamberlar değeerli mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 03:56:26] NextRisen | bi kaç tane bulmuştum hatırlıyom yerlerını | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 03:56:57] NextRisen | harbi mi diyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 03:57:17] NextRisen | nası satıcam kı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 03:58:38] NextRisen | ama yumurta mı dıyon sen | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:23:50] vapro543 | 1k olur mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:24:06] vapro543 | 3k olur mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:24:20] vapro543 | 4k olur mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:33:27] vapro543 | basene gelip yardım edim mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:33:47] vapro543 | nerden alcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:34:48] vapro543 | ulus bilmiyon mu aesirmc de var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:38:34] vapro543 | bune odun mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:39:13] vapro543 | sen almadın mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:40:29] eymenizmaa33 | lan sende balta yok nası kazcan | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:40:48] vapro543 | nasıl gösterim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:41:38] eymenizmaa33 | nası kudurdu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 04:43:47] vapro543 | bu sahte smplerden bıkmadın mı hadi sende oyna.aesirmc.com yaz ve gidip oyna | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 08:03:33] Ali_kayra8287 | ya etkinlikleri k bitene kadar burdayim | enyakin=yaris puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 08:31:36] Ramazan6414 | ali kayra ne kadar paran var | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 08:41:23] Serkan_3793 | lan esyalarim nerede aksam kim kesti bbeniii | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 08:41:57] Serkan_3793 | lan esyaparim nerede o zmn | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 08:42:31] Serkan_3793 | milyonlarca mesaj var nasi buliyim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 08:59:56] Ali_kayra8287 | end den dünyaya nasıl gelcem | enyakin=end-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 09:08:00] Ramazan6414 | ne kadar verirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 09:08:18] Swight | bilmiyom para mı istiyonki | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 09:20:15] Ramazan6414 | bişey mi yapacan ali kayra | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 09:30:23] Swight | hayır obsidyen ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 09:39:45] Swight | nası gircem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 09:42:46] eymenizmaa33 | banamı dedin knk? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 09:43:16] Ali_kayra8287 | Eymen bu arada. senle iyi anlaşıyoruz neden artık dalga geciyon fakirim diye | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 09:55:00] Hasanmc91 | bileme tasi nasil yapılıyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 09:56:11] Swight | bilmiyom nası aldımw | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:05:19] Swight | bilmiyom en fazla kaç verirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:10:08] Ali_kayra8287 | doğma yeri yapmak iştiyom ben istediğim zaman isinpanabilcegim bir basem var nasıl yapcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:15:53] eymenizmaa33 | niye napcanızki la | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:16:34] Eymennotfounddm | Serkan niye beni öldürmeye çalıştın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:17:37] Serkan_3793 | kk varm nasi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:18:27] Swight | olum bunu nerden aldın | enyakin=olunce-esya puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 10:24:16] eymenizmaa33 | ali bana neden tuzak kurdun kral ben naptım sana | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:26:00] adala7 | oyun çok kolayda mı beyler | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:27:04] Swight | niye tek sana saldırdılar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:29:32] eymenizmaa33 | netheritleride çalmıssın knk ben onları kaç saat kazdım | enyakin=nether-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 10:30:42] eymenizmaa33 | nerde kral alcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:33:00] Ali_kayra8287 | evt de setsiz nasıl olduriyim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:39:15] Ali_kayra8287 | beyler kaç yasindasiniz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:40:23] Swight | ali sen kaç yasındasın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:40:57] thecnoblade | yerdımcı olur musunuz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:41:09] Eymennotfounddm | arka olacak var mı arkadaş | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:42:31] Swight | ali sen nası zengin oldun | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 10:43:49] eymenizmaa33 | setimi vercenmi? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:44:34] eymenizmaa33 | adamlıkmı bu? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:50:32] Menemen_bambam | beyler buyulu kıtabı nası yapabilirim | enyakin=buyu-masasi puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 10:51:26] Swight | ya setim nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:54:44] eymenizmaa33 | itemlerim nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:54:44] thecnoblade | biri beni tpleyebilir mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:58:45] SaTaha | adam nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:59:34] SaTaha | yuksekten duaserek olmus esdyalrı nerde acaba | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 10:59:35] Swight | alinin itemler nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:02:19] Ramazan6414 | takım olalım mı | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 11:02:52] thecnoblade | biri yemek vere bilir mi ölcem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:03:13] Ramazan6414 | takım olalım mı | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 11:04:50] Ramazan6414 | takıma alcaz mı | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 11:05:34] LakuWasTaken | bana neden yaklaşıon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:07:34] Serkan_3793 | niye susturdun aksam bni | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:09:32] eymenizmaa33 | knk bana neden yaptınız size güvendim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:16:21] thecnoblade | nasıl atcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:17:28] LakuWasTaken | rehberden dilene dilene nereye gidicek iş Ramazan6414 | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:19:44] eymenizmaa33 | knk beni öyle sattınızki kime güvenceğimi sastım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:20:16] Hasanmc91 | 25k mi olmus totem :(( | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:21:00] Serkan_3793 | over totem 25k deildi 2500 dü nasi 25k oldu ben doludoluvaliyodum | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:21:56] eymenizmaa33 | sen var ya nası kudurmussun ama beni kesemicen canım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:23:27] Serkan_3793 | over hata var de gozunu yagını yiyin 25k nedir | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:24:35] AyiBogan064 | nerden atcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:30:40] OverLord | satmayı düşünmüyorum ama kac verirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:32:42] AyiBogan064 | yaptın mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:36:49] OverLord | kac atıyım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:38:31] MrErkan67 | base yapan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:39:05] OverLord | nası olur | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:39:31] AyiBogan064 | nasıl işinlacam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:40:17] adala7 | attın mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:40:18] OverLord | mirac nasıl atıyım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:40:47] MrErkan67 | base yapan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:41:21] Swight | eymen bu hangi blok | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:48:12] Dark | beyler bisi sorcam simdi bu sunucu nasıl bi sunucu ilk defa giriyorum da | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:49:40] OverLord | Ali neden | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:50:05] adala7 | sne yazdın mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:50:14] thecnoblade | yemek var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:50:59] adala7 | Ali geldin mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:53:22] Serkan_3793 | simdi at niye verim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:54:32] Hasanmc91 | ne kac tane sation | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:55:16] ItzRealMusty | 40k okey mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 11:56:18] Dark | arkadaşlar nasıl hızlıca gelişebilirim serverde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:00:26] ItzRealMusty | vindictor neydi la | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:02:01] Dark | keep inventory aç9ık mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:04:45] Dark | niye ban ki | enyakin=ceza-itiraz puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:05:50] kyrosrfl | ya nası kırcam ozaman | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:05:50] Serkan_3793 | seker farmi esyalari satiom huni (46 tane var) piston (15 tne var) gözlemci var (15) over kac uygun | enyakin=en-iyi-farm puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:06:00] OverLord | hasan nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:06:54] kyrosrfl | abi kime guvencem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:06:57] Serkan_3793 | over buna kac k uygun seker farmi esyalari satiom huni (46 tane var) piston (15 tne var) gözlemci var (15) | enyakin=en-iyi-farm puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:08:05] kyrosrfl | hasan ne kadara | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:11:01] kayra9806 | benim base var ona gidek? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:11:05] Dark | parayı nasıl kasıyon | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:11:08] Dark | oha ciddi mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:11:51] Numan42konya | nasıl TP atlir | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:12:18] Numan42konya | nasıl TP atlir | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:12:31] Numan42konya | TP nasıl atilir | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:12:55] Numan42konya | olum TP nasıl atilir | enyakin=olunce-esya puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:13:24] kyrosrfl | oveerlord hic arkadasın yok mu guvenebilecegim ipeksi kazması olan | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:13:59] kyrosrfl | hasan sana nasıl güvencem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:14:59] Hasanmc91 | niye kesik seni | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:15:10] Hasanmc91 | niye kesim seni | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:16:45] Numan42konya | niye hickimse beni dinlemiyo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:17:04] Numan42konya | odun veriyim mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:17:21] Numan42konya | nasıl vercez | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:21:02] memo1234868 | merhaba ve yeni base mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:21:12] kyrosrfl | e nası olcak | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:21:19] EmoBear05 | nası oynanıyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:21:59] Hasanmc91 | kazmam nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:25:04] Hasanmc91 | setimi niye izinsi aaliyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:26:07] Serkan_3793 | over mace onlyvan team nasi kuruluyo team kuruluyo dyiyolardi yorumlarda | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:27:05] kyrosrfl | oha burda ne kadar cok demir var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:29:44] Serkan_3793 | teama nasi davet atioz teamıma gelmesi icin | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:32:02] Hasanmc91 | setini sen kimden aldin eymen | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:32:50] AyiBogan064 | niye vurdun Aq neden | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:33:08] Serkan_3793 | ayiyi niye boyuyyo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:34:42] memo1234868 | ya over niye beni attın ölüyordum ya | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:36:00] memo1234868 | kim yaptı bunu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:36:10] MuratRTX | bana para atabilecek var mı | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:37:15] LakuWasTaken | sorunun mu var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:37:27] Dark | harbi olm derdin ne niye söyledin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:38:19] kayra9806 | base nereye yapcaz dark knk | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:38:24] LakuWasTaken | noldu snede mi basemi yaymaya geldin knk | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:38:33] Barlas | anladın mı şimdi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:42:29] memo1234868 | sen mi aldın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:42:57] memo1234868 | kazmam nerede | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:43:08] memo1234868 | demir kazmam nerede | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:43:55] memo1234868 | sen mi aldın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:44:09] LakuWasTaken | rahatsızmısının sebebi? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:44:18] memo1234868 | tamam niye gideyim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:45:02] kyrosrfl | bu oyun hangi sürümleri destekliyor | enyakin=sunucu-bilgi puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:48:50] KadirHB | spamin cezası yok mu OverLord | enyakin=ceza-itiraz puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:48:59] Dark | kaç tane | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:49:16] LakuWasTaken | bide kim yaptı diyor ya ayrı komik | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:50:09] KadirHB | kaç saat oldu adam spam attı mute atmadın çıkınca atma gerek yok | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:51:16] Hasanmc91 | niye simi var basememin ustundesin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:53:35] MAZIFIR | kescen mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 12:54:40] Serkan_3793 | 10 sellde ne kadar edio | enyakin=esya-satma puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:55:07] Serkan_3793 | 10 elmas sellde ne kadar ediyo over | enyakin=esya-satma puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 12:56:16] OverLord | kim aldı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:06:47] OverLord | trial hangi katmanda cıkıyo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:07:20] ItzRealMusty | niye öyle diyonuz ki | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:10:09] cayanacar | kaç verecen | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:11:07] IsmoabisYT | spawni nasil kullancaz | enyakin=spawn-warp puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 13:14:15] kyrosrfl | e nası alcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:14:42] kyrosrfl | ne kadar ki | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:14:58] kyrosrfl | nası alcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:15:40] kyrosrfl | nası yapcam şimdi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:19:55] cayanacar | 87277?46879 | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:20:11] kyrosrfl | örs kim satıyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:22:19] IsmoabisYT | merhabalar ipeksi dokunuşa ihtiyacım var hediye edebilcek yada satabilcek varmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:25:01] maceswap | ne kadar paran var | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-09 13:27:19] Dark | valla mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:31:05] kyrosrfl | beyler bu normal mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:32:25] kyrosrfl | beyler bu normal mı elmas buldum ama blok olarak geliyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:32:26] ItzRealMusty | yenilere neth set mi veriyoruz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:33:22] 7redstrike | ne normal mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:33:39] ItzRealMusty | kaç tane | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:35:06] kyrosrfl | abi bu normal mi ya | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:35:11] kyrosrfl | beyler bu normal mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:38:04] kyrosrfl | namada admin veya rehber yardımcı olabilir mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-09 13:38:27] kyrosrfl | bende elmas kırdım ama bana blok olarak geldi yani normal elmas degil blok hali maden gibi büyülerden dolayı mı | enyakin=buyu-masasi puan=1 sebep=SINYAL_ZAYIF
